lat,lon,time,spatial_ref,precipitation
32.75,-117.25,2017-02-01 00:00:00,0,0.172
32.75,-117.149994,2017-02-01 00:00:00,0,0.16800001
32.75,-117.049995,2017-02-01 00:00:00,0,0.16000001
32.75,-116.95,2017-02-01 00:00:00,0,0.15200001
32.75,-116.85,2017-02-01 00:00:00,0,0.143
32.75,-116.75,2017-02-01 00:00:00,0,0.14
32.75,-116.649994,2017-02-01 00:00:00,0,0.13700001
32.75,-116.549995,2017-02-01 00:00:00,0,0.132
32.75,-116.45,2017-02-01 00:00:00,0,0.125
32.75,-116.35,2017-02-01 00:00:00,0,0.115
32.75,-116.25,2017-02-01 00:00:00,0,0.105000004
32.75,-116.149994,2017-02-01 00:00:00,0,0.095000006
32.75,-116.049995,2017-02-01 00:00:00,0,0.085
32.75,-115.95,2017-02-01 00:00:00,0,0.076000005
32.75,-115.85,2017-02-01 00:00:00,0,0.07
32.75,-115.75,2017-02-01 00:00:00,0,0.064
32.75,-115.649994,2017-02-01 00:00:00,0,0.059000004
32.75,-115.549995,2017-02-01 00:00:00,0,0.05
32.75,-115.45,2017-02-01 00:00:00,0,0.046000004
32.75,-115.35,2017-02-01 00:00:00,0,0.043
32.75,-115.25,2017-02-01 00:00:00,0,0.041
32.75,-115.149994,2017-02-01 00:00:00,0,0.042000003
32.75,-115.049995,2017-02-01 00:00:00,0,0.043
32.75,-114.95,2017-02-01 00:00:00,0,0.044000003
32.75,-114.85,2017-02-01 00:00:00,0,0.044000003
32.75,-114.75,2017-02-01 00:00:00,0,0.043
32.75,-114.649994,2017-02-01 00:00:00,0,0.040000003
32.75,-114.549995,2017-02-01 00:00:00,0,0.038000003
32.75,-114.45,2017-02-01 00:00:00,0,0.0
32.75,-114.35,2017-02-01 00:00:00,0,0.0
32.75,-114.25,2017-02-01 00:00:00,0,0.0
32.85,-124.35,2017-02-01 00:00:00,0,0.0
32.85,-124.25,2017-02-01 00:00:00,0,0.0
32.85,-124.149994,2017-02-01 00:00:00,0,0.0
32.85,-124.049995,2017-02-01 00:00:00,0,0.0
32.85,-123.95,2017-02-01 00:00:00,0,0.0
32.85,-123.85,2017-02-01 00:00:00,0,0.0
32.85,-123.75,2017-02-01 00:00:00,0,0.0
32.85,-123.649994,2017-02-01 00:00:00,0,0.0
32.85,-123.549995,2017-02-01 00:00:00,0,0.0
32.85,-123.45,2017-02-01 00:00:00,0,0.0
32.85,-123.35,2017-02-01 00:00:00,0,0.0
32.85,-123.25,2017-02-01 00:00:00,0,0.0
32.85,-123.149994,2017-02-01 00:00:00,0,0.0
32.85,-123.049995,2017-02-01 00:00:00,0,0.0
32.85,-122.95,2017-02-01 00:00:00,0,0.0
32.85,-122.85,2017-02-01 00:00:00,0,0.0
32.85,-122.75,2017-02-01 00:00:00,0,0.0
32.85,-122.649994,2017-02-01 00:00:00,0,0.0
32.85,-122.549995,2017-02-01 00:00:00,0,0.0
32.85,-122.45,2017-02-01 00:00:00,0,0.0
32.85,-122.35,2017-02-01 00:00:00,0,0.0
32.85,-122.25,2017-02-01 00:00:00,0,0.0
32.85,-122.149994,2017-02-01 00:00:00,0,0.0
32.85,-122.049995,2017-02-01 00:00:00,0,0.0
32.85,-121.95,2017-02-01 00:00:00,0,0.0
32.85,-121.85,2017-02-01 00:00:00,0,0.0
32.85,-121.75,2017-02-01 00:00:00,0,0.0
32.85,-121.649994,2017-02-01 00:00:00,0,0.0
32.85,-121.549995,2017-02-01 00:00:00,0,0.0
32.85,-121.45,2017-02-01 00:00:00,0,0.0
32.85,-121.35,2017-02-01 00:00:00,0,0.0
32.85,-121.25,2017-02-01 00:00:00,0,0.0
32.85,-121.149994,2017-02-01 00:00:00,0,0.0
32.85,-121.049995,2017-02-01 00:00:00,0,0.0
32.85,-120.95,2017-02-01 00:00:00,0,0.0
32.85,-120.85,2017-02-01 00:00:00,0,0.0
32.85,-120.75,2017-02-01 00:00:00,0,0.0
32.85,-120.649994,2017-02-01 00:00:00,0,0.0
32.85,-120.549995,2017-02-01 00:00:00,0,0.0
32.85,-120.45,2017-02-01 00:00:00,0,0.0
32.85,-120.35,2017-02-01 00:00:00,0,0.0
32.85,-120.25,2017-02-01 00:00:00,0,0.0
32.85,-120.149994,2017-02-01 00:00:00,0,0.0
32.85,-120.049995,2017-02-01 00:00:00,0,0.0
32.85,-119.95,2017-02-01 00:00:00,0,0.0
32.85,-119.85,2017-02-01 00:00:00,0,0.0
32.85,-119.75,2017-02-01 00:00:00,0,0.0
32.85,-119.649994,2017-02-01 00:00:00,0,0.0
32.85,-119.549995,2017-02-01 00:00:00,0,0.0
32.85,-119.45,2017-02-01 00:00:00,0,0.0
32.85,-119.35,2017-02-01 00:00:00,0,0.0
32.85,-119.25,2017-02-01 00:00:00,0,0.0
32.85,-119.149994,2017-02-01 00:00:00,0,0.0
32.85,-119.049995,2017-02-01 00:00:00,0,0.0
32.85,-118.95,2017-02-01 00:00:00,0,0.0
32.85,-118.85,2017-02-01 00:00:00,0,0.0
32.85,-118.75,2017-02-01 00:00:00,0,0.0
32.85,-118.649994,2017-02-01 00:00:00,0,0.0
32.85,-118.549995,2017-02-01 00:00:00,0,0.0
32.85,-118.45,2017-02-01 00:00:00,0,0.268
32.85,-118.35,2017-02-01 00:00:00,0,0.0
32.85,-118.25,2017-02-01 00:00:00,0,0.0
32.85,-118.149994,2017-02-01 00:00:00,0,0.0
32.85,-118.049995,2017-02-01 00:00:00,0,0.0
32.85,-117.95,2017-02-01 00:00:00,0,0.0
32.85,-117.85,2017-02-01 00:00:00,0,0.0
32.85,-117.75,2017-02-01 00:00:00,0,0.0
32.85,-117.649994,2017-02-01 00:00:00,0,0.0
32.85,-117.549995,2017-02-01 00:00:00,0,0.0
32.85,-117.45,2017-02-01 00:00:00,0,0.0
32.85,-117.35,2017-02-01 00:00:00,0,0.0
32.85,-117.25,2017-02-01 00:00:00,0,0.17
32.85,-117.149994,2017-02-01 00:00:00,0,0.164
32.85,-117.049995,2017-02-01 00:00:00,0,0.15200001
32.85,-116.95,2017-02-01 00:00:00,0,0.14600001
32.85,-116.85,2017-02-01 00:00:00,0,0.13800001
32.85,-116.75,2017-02-01 00:00:00,0,0.132
32.85,-116.649994,2017-02-01 00:00:00,0,0.133
32.85,-116.549995,2017-02-01 00:00:00,0,0.12900001
