lat,lon,time,spatial_ref,precipitationCal
32.95,-121.25,2016-05-29 00:00:00,0,0.0
32.95,-121.149994,2016-05-29 00:00:00,0,0.0
32.95,-121.049995,2016-05-29 00:00:00,0,0.0
32.95,-120.95,2016-05-29 00:00:00,0,0.0
32.95,-120.84999,2016-05-29 00:00:00,0,0.0
32.95,-120.75,2016-05-29 00:00:00,0,0.0
32.95,-120.649994,2016-05-29 00:00:00,0,0.0
32.95,-120.549995,2016-05-29 00:00:00,0,0.0
32.95,-120.45,2016-05-29 00:00:00,0,0.0
32.95,-120.34999,2016-05-29 00:00:00,0,0.0
32.95,-120.25,2016-05-29 00:00:00,0,0.0
32.95,-120.149994,2016-05-29 00:00:00,0,0.0
32.95,-120.049995,2016-05-29 00:00:00,0,0.0
32.95,-119.95,2016-05-29 00:00:00,0,0.0
32.95,-119.84999,2016-05-29 00:00:00,0,0.0
32.95,-119.75,2016-05-29 00:00:00,0,0.0
32.95,-119.649994,2016-05-29 00:00:00,0,0.0
32.95,-119.549995,2016-05-29 00:00:00,0,0.0
32.95,-119.45,2016-05-29 00:00:00,0,0.0
32.95,-119.34999,2016-05-29 00:00:00,0,0.0
32.95,-119.25,2016-05-29 00:00:00,0,0.0
32.95,-119.149994,2016-05-29 00:00:00,0,0.0
32.95,-119.049995,2016-05-29 00:00:00,0,0.0
32.95,-118.95,2016-05-29 00:00:00,0,0.0
32.95,-118.84999,2016-05-29 00:00:00,0,0.0
32.95,-118.75,2016-05-29 00:00:00,0,0.0
32.95,-118.649994,2016-05-29 00:00:00,0,0.0
32.95,-118.549995,2016-05-29 00:00:00,0,0.0
32.95,-118.45,2016-05-29 00:00:00,0,0.0
32.95,-118.34999,2016-05-29 00:00:00,0,0.0
32.95,-118.25,2016-05-29 00:00:00,0,0.0
32.95,-118.149994,2016-05-29 00:00:00,0,0.0
32.95,-118.049995,2016-05-29 00:00:00,0,0.0
32.95,-117.95,2016-05-29 00:00:00,0,0.0
32.95,-117.84999,2016-05-29 00:00:00,0,0.0
